run,n,obj,margin_crps,total_crps,win_ll,ridge_ll,m_slope,t_bias
c_C0.1_t16_pw1,1597,19.968897128913586,10.412924001956792,9.555973126956793,0.5649456377810933,0.5232772885506219,1.1079819542783749,0.16697792736380704
c_C0.1_t16_pw0.5,1597,20.026938883844707,10.407554875626174,9.619384008218535,0.5636961777685732,0.5232772885506219,1.06821531259087,0.10383750782717582
c_C0.1_t32_pw1,1597,20.06241010347527,10.473982392180654,9.588427711294615,0.568786309170135,0.5232772885506219,1.1017237901887624,0.18564135879774576
c_C0.3_t16_pw1,1597,20.092058060738886,10.385051071814338,9.707006988924546,0.5661825661795354,0.5232772885506219,0.9858374647683484,0.17625438321853468
b_C0.1_t16_pw1,1597,20.13175904492799,10.345676141123981,9.786082903804008,0.5583963427029092,0.5232772885506219,1.070555755013115,0.06678146524733854
c_C1_t16_pw1,1597,20.142394794575768,10.368019159791798,9.77437563478397,0.5697383604318627,0.5232772885506219,0.9396961827234851,-0.15525892298058863
c_C0.1_t8_pw1,1597,20.195556050485287,10.482965431473074,9.71259061901221,0.5674107331262949,0.5232772885506219,1.0277773895231834,0.128954132748904
c_C0.03_t16_pw1,1597,20.214617831598307,10.684499763893236,9.530118067705072,0.5783663028055297,0.5232772885506219,1.358418080982972,0.09121430807764554
b_C0.1_t32_pw1,1597,20.264300426502817,10.420846748512837,9.84345367798998,0.5619462890591137,0.5232772885506219,1.1095552065650751,0.24550156543519094
c_C0.03_t8_pw1,1597,20.286070945522855,10.718555750821853,9.567515194701002,0.5789259554054791,0.5232772885506219,1.290845639541614,0.17385331872260507
c_C0.03_t32_pw1,1597,20.361843951902003,10.763439991781464,9.598403960120537,0.582404863774291,0.5232772885506219,1.3599104147211811,0.05661568566061366
b_C0.1_t8_pw1,1597,20.377485596469946,10.431352392806826,9.946133203663118,0.5621353467888881,0.5232772885506219,0.9826544254151642,0.10445460237946161
b_C0.03_t16_pw1,1597,20.425450769685348,10.7030179426268,9.722432827058547,0.5723146328969251,0.5232772885506219,1.3696341635502716,0.14428287413901067
b_C0.03_t8_pw1,1597,20.48478794990607,10.733371914840324,9.751416035065747,0.573745528939512,0.5232772885506219,1.3029770788887496,0.07679117094552292
b_C0.03_t32_pw1,1597,20.5476726757201,10.778801323027551,9.768871352692548,0.5761234391264625,0.5232772885506219,1.3588115878029567,0.12714151534126478
c_C0.01_t8_pw1,1597,20.914653950962744,11.206439816726677,9.708214134236067,0.606343688065701,0.5232772885506219,1.4897075316429895,0.13988760175328732
c_C0.01_t16_pw1,1597,20.923713991585785,11.223922585042265,9.699791406543518,0.6072723002836254,0.5232772885506219,1.5166439620682555,0.07783202880400734
c_C0.01_t32_pw1,1597,20.99354018311678,11.265829930612085,9.727710252504696,0.6092411703937273,0.5232772885506219,1.4959533124390414,0.15364448966812752
b_C0.01_t8_pw1,1597,21.069770479884156,11.321339191922355,9.748431287961802,0.6051484280442773,0.5232772885506219,1.4732181827779134,-0.008708672510958167
b_C0.01_t16_pw1,1597,21.093645806629617,11.330237835120538,9.76340797150908,0.6050919657751395,0.5232772885506219,1.4906719111977995,0.0345198810269254
b_C0.01_t32_pw1,1597,21.173852867368502,11.376172422550093,9.79768044481841,0.6069913395543896,0.5232772885506219,1.464750403040879,0.11794974953036926
